y,x
.0010677,.1370402
.0012679,.6852009
.0000667,3.151924
.0000667,4.248245
.0003337,4.522326
.0000667,5.618647
.0000667,6.166808
.0004004,6.440888
.0012679,6.714968
.0010677,6.989048
.001001,7.263129
.0041373,7.53721
.0012679,7.81129
.0026692,8.08537
.0162156,8.35945
.0045377,8.633531
.008675,8.907611
.0218209,9.181691
.0244234,9.455771
.0378363,9.729852
.0523169,10.00393
.0573217,10.27801
.1181134,10.55209
.2063314,10.82617
.2830718,11.10025
.4013853,11.37433
.6948003,11.64841
2.453022,11.92249
2.692585,12.19658
7.321095,12.47066
18.55882,12.74474
17.79962,13.01882
15.06833,13.2929
10.63841,13.56698
8.090767,13.84106
5.498612,14.11514
3.914892,14.38922
2.943759,14.6633
3.069947,14.93738
.0046044,15.21146
.002469,15.48554
.0008008,15.75962
.0003337,16.0337
.0002002,16.30778
.0001335,16.58186
