y,x
.0015936,.1213942
.0001518,3.520431
.0000759,4.006008
.0000759,4.248796
.0000759,4.491584
.0000759,4.734373
.0001518,4.977161
.0000759,5.219949
.0001518,5.462738
.0005312,5.705526
.0001518,6.191103
.0003035,6.433891
.0000759,6.676679
.0003035,6.919467
.0010624,7.162256
.0034906,7.405044
.0012141,7.647832
.0013659,7.890621
.005843,8.13341
.0079678,8.376198
.0057672,8.618986
.0144938,8.861774
.0219304,9.104563
.0185156,9.347351
.0268628,9.590139
.0381695,9.832928
.0423431,10.07572
.0809679,10.3185
.1139014,10.56129
.1765054,10.80408
.2685522,11.04687
.4211542,11.28966
1.505987,11.53245
1.619964,11.77523
1.945808,12.01802
6.745677,12.26081
15.89353,12.5036
15.5953,12.74639
13.42101,12.98918
11.07203,13.23196
8.525908,13.47475
6.888717,13.71754
5.119035,13.96033
3.653722,14.20312
2.941781,14.44591
1.86947,14.68869
1.948161,14.93148
