y,x
.0043042,.1381302
.0001304,.6906508
.0001304,2.624473
.0024781,3.453254
.0001304,4.005774
.0006521,4.282035
.0007826,4.558295
.0005217,4.834556
.0006521,5.110816
.0006521,5.387076
.0001304,5.663336
.0014347,5.939597
.0015651,6.215857
.0026086,6.492117
.0062606,6.768378
.0028694,7.044638
.0049563,7.320898
.0032607,7.597158
.0058693,7.873419
.0230859,8.149679
.0396504,8.42594
.04865,8.7022
.0323464,8.97846
.0626059,9.254721
.0718663,9.530981
.1134732,9.807241
.1725575,10.0835
.3143337,10.35976
.4301547,10.63602
.8230066,10.91228
2.510888,11.18854
3.544406,11.4648
9.705739,11.74106
21.18662,12.01732
19.34222,12.29358
12.27141,12.56984
8.973641,12.8461
7.024511,13.12236
4.748005,13.39863
3.3082,13.67489
2.604275,13.95115
1.328027,14.22741
1.280812,14.50367
.0001304,16.16123
