y,x
.0056409,.1256217
.0001612,1.130596
.0004835,2.638056
.0003223,3.391787
.0004835,4.39676
.0004835,4.648004
.0001612,4.899248
.0003223,5.150491
.0012894,5.401734
.0004835,5.652978
.0004835,5.904221
.0011282,6.155465
.0032234,6.406708
.0033846,6.657952
.0029011,6.909195
.0011282,7.160439
.0053186,7.411682
.0030622,7.662925
.0365855,7.914169
.0116042,8.165412
.0472227,8.416656
.0565706,8.667899
.034168,8.919143
.0390031,9.170386
.0684971,9.42163
.0908997,9.672873
.1508548,9.924116
.1716457,10.17536
.3634377,10.4266
.5096186,10.67785
.8469468,10.92909
3.400197,11.18033
3.577806,11.43158
4.196859,11.68282
24.89588,11.93406
18.06035,12.18531
12.12012,12.43655
8.698974,12.68779
6.764454,12.93904
5.253488,13.19028
3.633571,13.44152
2.65656,13.69277
2.064906,13.94401
2.219307,14.19526
