y,x
.0037592,.1263333
.000537,4.674332
.0001343,5.179665
.0001343,5.432331
.0004028,5.684998
.0006713,5.937665
.0002685,6.190331
.0006713,6.442997
.0022824,6.695664
.0044305,6.948331
.0044305,7.200997
.0008055,7.453664
.0024166,7.70633
.0030879,7.958997
.0051018,8.211663
.0132914,8.46433
.0220181,8.716997
.0191987,8.969664
.0406798,9.22233
.0668598,9.474997
.0974703,9.727663
.1988341,9.98033
.2517312,10.233
.3661179,10.48566
.5457533,10.73833
.8262155,10.991
2.872958,11.24366
3.233572,11.49633
3.905929,11.749
22.6299,12.00166
17.05959,12.25433
13.12574,12.507
9.736025,12.75966
7.658268,13.01233
5.776393,13.26499
3.989571,13.51766
2.986405,13.77033
2.212147,14.02299
2.335932,14.27566
.0001343,14.52833
.0001343,14.78099
