y,x
.0026904,.1523753
.0005381,4.418883
.0005381,5.028385
.0005381,6.552138
.0016142,6.856888
.0005381,7.161639
.0026904,7.46639
.0059189,7.77114
.0053808,8.075891
.032285,8.380641
.0242137,8.685391
.0414324,8.990143
.0785601,9.294893
.1425919,9.599644
.2781888,9.904394
.5176356,10.20914
.7786058,10.5139
2.476795,10.81865
3.929619,11.1234
5.557858,11.42815
28.46512,11.7329
20.79744,12.03765
13.02806,12.3424
8.398934,12.64715
6.076569,12.9519
4.149157,13.25665
2.384245,13.5614
1.653528,13.86615
1.159568,14.1709
.0048427,14.47565
.0005381,14.7804
.0005381,15.08515
.0016142,15.3899
.0016142,15.99941
