y,x
.0031252,.1220228
.0000845,4.026752
.0000845,4.270798
.0004223,4.514843
.0000845,4.758889
.0001689,5.24698
.0002534,5.491026
.0000845,5.735071
.0002534,5.979117
.0004223,6.223163
.0077707,6.467208
.0002534,6.711254
.0038854,6.955299
.0024495,7.199345
.0019427,7.44339
.0016048,7.687436
.0027873,7.931482
.02365,8.175528
.0146123,8.419573
.0120784,8.663618
.0292246,8.907664
.0202714,9.15171
.0328566,9.395755
.0289712,9.639801
.0474689,9.883846
.0746664,10.12789
.1152937,10.37194
.1955347,10.61598
.2731574,10.86003
.4669183,11.10407
1.627288,11.34812
1.964047,11.59217
2.371756,11.83621
9.931221,12.08026
18.11099,12.3243
15.33499,12.56835
12.52495,12.81239
9.611186,13.05644
7.617407,13.30048
6.144098,13.54453
4.361311,13.78858
3.197816,14.03262
2.53511,14.27667
3.307451,14.52071
