y,x
.0104627,.1386081
.0001203,.6930404
.000481,3.465202
.0001203,3.742418
.0001203,4.019634
.0001203,4.29685
.0003608,4.574067
.0001203,4.851283
.0001203,5.128499
.0006013,5.405715
.0002405,5.682931
.0001203,5.960147
.0009621,6.237363
.0072156,6.51458
.006013,6.791796
.0067346,7.069012
.0074562,7.346228
.002766,7.623444
.0061333,7.900661
.0192417,8.177876
.0315083,8.455092
.0505095,8.732308
.033673,9.009525
.0529147,9.286741
.0638584,9.563957
.1249508,9.841173
.1723336,10.11839
.3174882,10.39561
.4441227,10.67282
.766301,10.95004
2.501422,11.22725
3.303681,11.50447
11.84808,11.78169
19.71866,12.0589
18.26748,12.33612
12.0601,12.61333
9.209322,12.89055
6.920882,13.16777
4.951012,13.44498
3.441981,13.7222
2.6206,13.99942
3.029246,14.27663
.0002405,15.93993
.0001203,16.21714
