y,x
.0049427,.1351071
.0002059,2.296821
.0004119,2.83725
.0004119,3.647892
.0004119,3.918106
.0002059,4.458535
.0006178,4.728749
.0002059,4.998963
.0002059,5.269177
.0008238,5.539392
.0002059,6.07982
.0008238,6.350035
.0026773,6.620249
.0026773,6.890463
.0024714,7.160677
.0032951,7.430892
.0051487,7.701106
.0362466,7.97132
.0764062,8.241534
.0755824,8.511748
.0448963,8.781962
.053752,9.052176
.0834083,9.322392
.0899986,9.592606
.1773199,9.86282
.2057406,10.13303
.3929459,10.40325
.581181,10.67346
2.333992,10.94368
2.81117,11.21389
3.456606,11.48411
13.06154,11.75432
25.26304,12.02453
15.50406,12.29475
10.45014,12.56496
7.558237,12.83518
6.362305,13.10539
4.176801,13.3756
3.04286,13.64582
2.55456,13.91603
1.580845,14.18625
.0002059,14.45646
.0002059,14.99689
.0002059,15.2671
