y,x
.0015353,.1205664
.0000768,2.290762
.0000768,3.255293
.0000768,3.496426
.0001535,3.978691
.0003071,4.70209
.0000768,4.943223
.0001535,5.425488
.0000768,5.666621
.0000768,5.907754
.0004606,6.148887
.0006141,6.390019
.0001535,6.631153
.0003071,6.872285
.00261,7.113418
.0043756,7.354551
.0014585,7.595684
.0022262,7.836816
.0045292,8.07795
.0309365,8.319082
.0121289,8.560215
.0233367,8.801348
.022262,9.04248
.0181934,9.283613
.0300153,9.524746
.0385363,9.765879
.05435,10.00701
.0802967,10.24814
.1194471,10.48928
.1782494,10.73041
.2920159,10.97154
.4082388,11.21268
1.512664,11.45381
1.744726,11.69494
2.21169,11.93607
8.550138,12.17721
15.78843,12.41834
16.36225,12.65947
13.42037,12.90061
10.39558,13.14174
8.155103,13.38287
6.547864,13.624
4.50598,13.86514
3.337916,14.10627
2.725865,14.3474
3.414068,14.58854
