y,x
.0031602,.1358902
.000117,.6794512
.000117,2.310134
.0005852,4.484378
.000117,4.756159
.0014045,5.027939
.000117,5.29972
.0003511,5.5715
.0002341,6.115061
.0011705,6.386842
.0011705,6.658622
.0026921,6.930403
.0037455,7.202183
.0059693,7.473964
.0023409,7.745744
.0177909,8.017525
.0115875,8.289306
.0397955,8.561086
.056416,8.832867
.0345285,9.104647
.0602785,9.376428
.0710468,9.648208
.1142366,9.919989
.1582458,10.19177
.294487,10.46355
.3869531,10.73533
.6675118,11.00711
2.209004,11.27889
2.840466,11.55067
3.868946,11.82245
23.59923,12.09423
18.95485,12.36601
13.27322,12.63779
9.803749,12.90957
7.384766,13.18135
5.701999,13.45313
3.928523,13.72492
2.967694,13.9967
1.709102,14.26848
1.822168,14.54026
.000117,16.17094
