y,x
.0030487,.1218994
.0000726,2.316088
.0000726,3.535082
.0002178,4.510277
.0001452,4.754076
.0000726,4.997875
.0000726,5.241673
.0005081,5.485472
.0004355,5.729271
.0002178,5.97307
.0000726,6.216868
.0021777,6.460667
.0039924,6.704466
.0005807,6.948265
.001597,7.192063
.0034843,7.435862
.0015244,7.679661
.002831,7.92346
.0076218,8.167258
.0092914,8.411057
.0056619,8.654856
.0096543,8.898655
.0268578,9.142453
.0215588,9.386252
.0253335,9.630051
.0364395,9.87385
.0523364,10.11765
.0852917,10.36145
.1271028,10.60525
.1593322,10.84904
.2688685,11.09284
.3799292,11.33664
.6273841,11.58044
1.985809,11.82424
2.221214,12.06804
6.612031,12.31184
14.42555,12.55564
16.50181,12.79943
13.81915,13.04323
11.27063,13.28703
9.080918,13.53083
7.155503,13.77463
4.856039,14.01843
3.613465,14.26223
2.910589,14.50603
3.683513,14.74982
