y,x
.0061612,.1232001
.000303,2.340801
.000101,3.080002
.000202,3.572802
.000303,4.558403
.000101,4.804803
.000303,5.051203
.000101,5.297603
.000404,5.544003
.000303,5.790404
.0041412,6.036804
.0167666,6.283204
.0044442,6.529604
.0043432,6.776004
.0027271,7.022404
.0030301,7.268805
.001212,7.515205
.0016161,7.761605
.0029291,8.008005
.0130295,8.254405
.0245439,8.500805
.0284831,8.747206
.0246449,8.993606
.0354523,9.240005
.0382804,9.486406
.054542,9.732806
.1001957,9.979206
.1459505,10.22561
.2241274,10.47201
.3772491,10.71841
.506635,10.96481
1.798069,11.21121
2.347328,11.45761
2.513782,11.70401
11.70058,11.95041
17.97857,12.19681
16.09293,12.44321
11.67977,12.68961
8.917017,12.93601
7.139452,13.18241
5.829635,13.42881
4.185698,13.67521
3.103745,13.92161
2.344096,14.16801
2.746697,14.41441
