y,x
.0026733,.1204983
.0000786,3.253454
.0000786,4.217441
.0002359,4.458437
.0061329,4.699434
.0001573,5.181427
.0002359,5.422423
.0000786,5.66342
.0001573,5.904417
.0002359,6.145413
.0009435,6.38641
.0003931,6.627407
.0063687,6.868403
.001258,7.1094
.0073123,7.350396
.0016512,7.591393
.001887,7.832389
.0049535,8.073386
.0333376,8.314383
.0139169,8.555379
.0260253,8.796375
.019578,9.037373
.0185558,9.278369
.0295635,9.519365
.0390773,9.760362
.0500064,10.00136
.0758744,10.24236
.1525352,10.48335
.2021484,10.72435
.3671851,10.96535
.4540673,11.20634
1.635743,11.44734
1.939712,11.68833
2.309728,11.92933
9.920445,12.17033
17.97218,12.41132
15.0553,12.65232
12.62283,12.89332
9.641558,13.13431
7.715448,13.37531
6.216122,13.61631
4.333807,13.8573
3.163532,14.0983
2.64216,14.3393
3.31473,14.58029
