y,x
.009086,.1442609
.0003029,3.895043
.0003029,5.049129
.0003029,6.203217
.0015143,6.491738
.0033315,6.78026
.0009086,7.068781
.0015143,7.357303
.0018172,7.645825
.0060573,7.934347
.0130232,8.222868
.0190805,8.51139
.0242292,8.799911
.0657217,9.088433
.0838936,9.376955
.1608214,9.665477
.2247259,9.953999
.3707069,10.24252
.5575746,10.53104
.9149555,10.81956
3.341208,11.10809
3.834878,11.39661
13.65588,11.68513
22.90296,11.97365
16.54673,12.26217
12.1146,12.55069
8.213701,12.83922
6.370465,13.12774
4.055061,13.41626
2.928403,13.70478
1.902599,13.9933
1.667272,14.28182
.0033315,14.57035
.0009086,14.85887
.0006057,15.14739
.0006057,15.43591
.0009086,15.72443
