y,x
.0056869,.1248814
.0006421,2.372747
.0000917,2.872273
.0000917,3.122036
.0002752,3.371799
.0001834,3.621561
.0000917,3.871324
.0000917,4.121087
.0000917,4.620613
.0000917,4.870376
.0000917,5.120139
.0000917,5.869427
.0004586,6.11919
.0002752,6.368953
.0012841,6.618716
.0007338,6.868478
.0006421,7.118241
.0018345,7.368004
.0025683,7.617767
.0052283,7.86753
.0048614,8.117292
.0247656,8.367056
.0210049,8.616818
.0131166,8.866581
.0254077,9.116344
.0367815,9.366107
.0494395,9.61587
.0845699,9.865633
.0927334,10.1154
.1408887,10.36516
.2226152,10.61492
.3283735,10.86468
1.000897,11.11445
.9738383,11.36421
1.730473,11.61397
17.08891,11.86374
16.9094,12.1135
15.74542,12.36326
12.68714,12.61302
10.2968,12.86279
7.312456,13.11255
4.813607,13.36231
3.13239,13.61208
2.695873,13.86184
1.68241,14.1116
2.864004,14.36136
.001009,14.61113
.0002752,14.86089
