y,x
.0005124,.1180586
.0000466,3.659818
.0000932,4.132052
.0000466,4.368169
.0000932,4.604287
.0000466,5.076521
.0001863,5.548756
.0002329,5.784873
.0001397,6.02099
.0000932,6.257108
.0034935,6.493225
.0000932,6.729342
.0006521,6.965459
.0001863,7.201577
.000559,7.437694
.0009782,7.673811
.0012577,7.909929
.0011645,8.146046
.0009316,8.382163
.0025619,8.61828
.00177,8.854398
.0140672,9.090515
.0230572,9.326632
.0133219,9.56275
.0216598,9.798867
.038615,10.03498
.0381026,10.2711
.0588774,10.50722
.1308438,10.74334
.111187,10.97945
.207282,11.21557
.2470149,11.45169
.7681544,11.68781
.8277771,11.92392
.9862896,12.16004
4.899028,12.39616
12.96346,12.63227
12.00982,12.86839
13.31994,13.10451
12.79042,13.34063
10.78085,13.57674
8.660427,13.81286
6.008383,14.04898
4.386646,14.2851
3.800853,14.52121
2.672214,14.75733
4.206566,14.99345
