y,x
.000852,.1298262
.0000426,4.024611
.0000852,4.284264
.0000426,4.803568
.0000426,5.063221
.0000426,5.842177
.0000426,6.361482
.0008094,6.621135
.0005112,6.880787
.0002982,7.140439
.0005538,7.400092
.0009372,7.659744
.0022153,7.919396
.0014485,8.179049
.0023431,8.438701
.0011076,8.698353
.0051548,8.958006
.0151236,9.217658
.0241552,9.47731
.0155922,9.736962
.0323347,9.996614
.059046,10.25627
.0812841,10.51592
.1096142,10.77557
.1468907,11.03522
.1839968,11.29488
.2699671,11.55453
.7495347,11.81418
.812713,12.07383
1.25641,12.33349
5.190977,12.59314
16.66558,12.85279
15.06644,13.11244
14.4554,13.3721
12.59771,13.63175
9.814968,13.8914
6.980931,14.15105
5.072502,14.4107
4.064886,14.67036
6.312979,14.93001
.0031099,15.18966
.0010224,15.44931
.000213,15.70897
.0000852,16.22827
