y,x
.0024596,.1237631
.0001118,2.351498
.0001118,4.084181
.0001118,5.321812
.0001118,6.559443
.000559,6.806969
.0003354,7.054495
.0008944,7.302022
.0017888,7.549548
.0019006,7.797074
.0057017,8.0446
.0106208,8.292126
.0118506,8.539652
.0111798,8.787178
.0238129,9.034704
.0377877,9.28223
.0537747,9.529757
.0667433,9.777283
.144331,10.02481
.1469023,10.27234
.2311978,10.51986
.3384119,10.76739
.9460329,11.01491
1.182597,11.26244
1.600162,11.50997
10.1139,11.75749
22.55811,12.00502
16.01157,12.25254
13.53938,12.50007
10.12799,12.7476
7.30621,12.99512
4.966506,13.24265
3.131903,13.49018
2.426907,13.7377
1.913755,13.98523
3.082824,14.23275
.0014534,14.48028
