y,x
.0047449,.1287926
.0000949,1.416719
.0005694,2.189475
.0000949,3.219816
.0000949,3.477401
.0003796,3.734986
.0000949,3.992571
.0001898,4.507742
.0000949,5.280498
.0000949,5.795668
.0001898,6.053254
.0000949,6.310839
.0002847,6.568424
.0005694,6.826009
.0008541,7.083594
.0017082,7.34118
.0017082,7.598765
.0057888,7.85635
.0041755,8.113935
.0148041,8.371521
.0204031,8.629107
.0142347,8.886691
.0316011,9.144277
.0353021,9.401862
.0674725,9.659447
.0966063,9.917032
.108943,10.17462
.1700574,10.4322
.2547065,10.68979
.8309277,10.94737
.8713543,11.20496
1.103095,11.46254
7.605702,11.72013
18.76154,11.97771
16.84859,12.2353
14.87594,12.49288
11.81073,12.75047
8.971476,13.00806
6.507731,13.26564
3.55251,13.52323
3.736233,13.78081
1.343852,14.0384
2.343318,14.29598
.0002847,14.55357
.0006643,14.81115
.0000949,15.32632
