y,x
.0016492,.1161906
.00005,.5809532
.00005,1.510478
.00005,4.531435
.0001999,5.228579
.0001,5.46096
.0001,5.693341
.00005,5.925723
.0001999,6.158104
.0051976,6.390485
.0001499,6.622866
.0013494,6.855247
.0004998,7.087629
.0006497,7.32001
.0004998,7.552392
.0002499,7.784773
.0023989,8.017154
.0023989,8.249536
.0028987,8.481916
.0079963,8.714298
.0120944,8.946679
.0169921,9.17906
.0146432,9.411442
.0206904,9.643823
.0278371,9.876204
.0532754,10.10859
.0737659,10.34097
.088809,10.57335
.1244925,10.80573
.1917114,11.03811
.28142,11.27049
.859253,11.50287
.8816926,11.73525
1.055112,11.96764
6.070795,12.20002
15.65577,12.4324
12.30771,12.66478
12.67684,12.89716
11.71679,13.12954
9.800822,13.36192
8.100457,13.59431
5.817012,13.82669
4.06947,14.05907
3.302624,14.29145
6.75318,14.52383
