y,x
.0012793,.1223857
.0004264,4.52827
.0000533,4.773041
.0003731,5.262584
.0003198,5.507355
.0001066,5.996898
.0002132,6.241669
.0045842,6.486441
.0001066,6.731212
.0002132,6.975983
.000533,7.220755
.0003198,7.465526
.0002132,7.710297
.0018124,7.955069
.0027718,8.19984
.0020256,8.444612
.0089552,8.689383
.0112473,8.934154
.0158848,9.178926
.0163112,9.423697
.0215884,9.668468
.0404582,9.913239
.0485605,10.15801
.0891786,10.40278
.1215878,10.64755
.2214807,10.89232
.2465872,11.1371
.8333111,11.38187
.913961,11.62664
1.089067,11.87141
6.416491,12.11618
16.82886,12.36095
13.70366,12.60572
13.46864,12.8505
11.71385,13.09527
9.696856,13.34004
7.173469,13.58481
5.095708,13.82958
3.976685,14.07435
2.856221,14.31912
5.375984,14.5639
.0000533,15.29821
