y,x
.0044544,.1366848
.0026112,2.323641
.0001536,3.690488
.0003072,4.510597
.0003072,5.057336
.0001536,5.330706
.0010752,5.877444
.0001536,6.150814
.0001536,6.424183
.0003072,6.697553
.0003072,6.970922
.0004608,7.244292
.0021504,7.517662
.0019968,7.791031
.0047616,8.064401
.0084479,8.33777
.0167422,8.611139
.0188926,8.884509
.0377852,9.157879
.0528379,9.431248
.1141237,9.704618
.1520625,9.977987
.2111979,10.25136
.2995171,10.52473
.4841425,10.7981
1.171035,11.07147
1.670691,11.34483
8.554976,11.6182
21.19613,11.89157
19.99914,12.16494
14.52719,12.43831
10.93253,12.71168
7.342777,12.98505
4.559418,13.25842
2.763698,13.53179
2.619469,13.80516
1.225409,14.07853
2.019052,14.3519
.0016896,14.62527
.0006144,14.89864
.0006144,15.17201
.0003072,15.44538
.0001536,15.99212
