y,x
.0039257,.1390039
.0001636,1.529042
.0001636,2.919081
.0001636,4.30912
.0001636,5.143143
.0003271,5.699158
.0001636,5.977166
.0003271,6.255174
.0001636,6.533182
.0004907,6.811189
.0004907,7.089197
.0021264,7.367205
.0017993,7.645213
.0037621,7.92322
.0098142,8.201228
.0152121,8.479236
.0143942,8.757243
.0390934,9.035251
.047272,9.313259
.0866925,9.591267
.1230053,9.869274
.1810729,10.14728
.2949182,10.42529
.4385334,10.7033
1.01921,10.98131
1.445475,11.25931
6.877826,11.53732
18.49397,11.81533
21.01002,12.09334
16.00688,12.37134
11.61664,12.64935
8.171507,12.92736
4.959303,13.20537
3.026878,13.48337
2.655409,13.76138
1.340954,14.03939
2.108918,14.3174
.0013086,14.59541
.0006543,14.87341
.0003271,15.15142
.0003271,15.42943
.0001636,15.70744
