y,x
.001062,.11803
.0000531,2.478631
.0000531,3.894992
.0000531,4.603172
.0003717,5.311352
.0001062,5.547412
.0002124,5.783473
.0000531,6.019533
.0001593,6.255592
.0055224,6.491652
.0001593,6.727713
.0002655,6.963773
.0003717,7.199833
.0004779,7.435893
.0006372,7.671953
.0018585,7.908013
.0029205,8.144073
.0019116,8.380134
.0110979,8.616194
.014337,8.852254
.0086553,9.088314
.0275059,9.324374
.0225676,9.560434
.0330283,9.796494
.0576668,10.03255
.0695612,10.26861
.0867656,10.50467
.1314229,10.74073
.2000283,10.97679
.2648635,11.21285
.7987855,11.44891
.8539565,11.68497
1.075065,11.92103
6.701239,12.15709
16.22087,12.39316
12.22987,12.62922
12.69024,12.86528
11.37368,13.10134
9.721787,13.3374
7.835617,13.57346
5.583746,13.80952
4.015964,14.04558
3.282757,14.28164
6.67267,14.5177
