y,x
.0038105,.1355498
.0000646,3.388745
.0000646,4.202044
.0001292,4.473144
.0000646,5.015343
.0001292,5.286443
.0002583,5.557542
.0003229,5.828642
.0001938,6.099741
.0003229,6.370841
.0003875,6.641941
.0006458,6.91304
.000775,7.18414
.0036167,7.45524
.0013563,7.726339
.0036167,7.997439
.00465,8.268538
.0089126,8.539639
.0134335,8.810738
.0135626,9.081838
.0233148,9.352937
.0396546,9.624037
.0621944,9.895136
.0789862,10.16624
.1314285,10.43734
.2035688,10.70844
.3324785,10.97954
.8720778,11.25063
1.051298,11.52173
1.527283,11.79283
9.642327,12.06393
23.56683,12.33503
15.68694,12.60613
13.82563,12.87723
10.78701,13.14833
7.468624,13.41943
4.661351,13.69053
3.745485,13.96163
2.343947,14.23273
3.893124,14.50383
.0000646,15.58823
.0000646,16.67263
