y,x
.0017494,.1295078
.00007,.6475391
.00007,1.16557
.00007,1.424586
.0016094,3.496711
.00014,3.755727
.00007,4.532774
.00007,5.050805
.0002799,5.309821
.00007,5.568836
.00007,5.827852
.0002099,6.086868
.0003499,6.345883
.0003499,6.604899
.0015395,6.863914
.0014695,7.12293
.0007697,7.381946
.0005598,7.640962
.0020293,7.899977
.0016094,8.158993
.0082571,8.418009
.0100064,8.677024
.0082571,8.93604
.0233017,9.195055
.0319786,9.454071
.0455538,9.713087
.0797717,9.972102
.0945364,10.23112
.120987,10.49013
.2183924,10.74915
.3225854,11.00817
.8687413,11.26718
1.001064,11.5262
5.568202,11.78521
13.54026,12.04423
15.03892,12.30324
14.43741,12.56226
13.07989,12.82127
10.81249,13.08029
8.090735,13.33931
5.217556,13.59832
4.112369,13.85734
2.659475,14.11635
4.596037,14.37537
.00007,15.67045
