y,x
.0012016,.1221723
.0000522,3.542998
.0000522,4.520377
.0000522,4.764721
.0000522,5.009066
.0002612,5.253411
.0001567,5.497756
.0000522,5.7421
.0001045,5.986444
.006217,6.475134
.0001045,6.719479
.0005224,6.963823
.0005747,7.208168
.0004179,7.452513
.0005747,7.696857
.0024554,7.941202
.0027689,8.185547
.0017763,8.429892
.0084112,8.674236
.0133743,8.918581
.0178673,9.162926
.0177628,9.40727
.0259128,9.651615
.0361003,9.89596
.069066,10.1403
.0934637,10.38465
.1123236,10.62899
.1581412,10.87334
.2788238,11.11768
.7345443,11.36203
.8131708,11.60637
.9636322,11.85072
5.830276,12.09506
15.04233,12.33941
12.46834,12.58375
13.0646,12.8281
12.25926,13.07244
10.37902,13.31678
8.298208,13.56113
5.710272,13.80547
4.075832,14.04982
3.297978,14.29416
6.213795,14.53851
.0001045,15.27154
