y,x
.001967,.1392068
.0000894,4.593824
.0001341,4.872238
.0000447,5.429065
.0000447,5.707479
.0000447,5.985892
.0000447,6.542719
.0021458,6.821133
.0004023,7.099546
.0008047,7.37796
.0009388,7.656374
.0013858,7.934787
.0020564,8.213201
.0032634,8.491614
.0029057,8.770028
.005275,9.048442
.0239612,9.326856
.0288339,9.605268
.0372382,9.883682
.0428262,10.1621
.0606183,10.44051
.1317419,10.71892
.2015245,10.99734
.2450212,11.27575
.400322,11.55416
.6240196,11.83258
3.026891,12.11099
2.512038,12.38941
6.1815,12.66782
17.44456,12.94623
15.82633,13.22465
14.28759,13.50306
11.70273,13.78147
8.642665,14.05989
6.145066,14.3383
4.838063,14.61671
3.168333,14.89513
4.403498,15.17354
.001654,15.45195
.00076,15.73037
.0001788,16.00878
.0000447,16.2872
.0000447,16.56561
.0000447,16.84402
.0000447,17.12244
.0003129,17.40085
