y,x
.004064,.1176524
.0000549,2.470701
.0001098,3.88253
.0001648,4.588444
.0000549,5.059054
.0002746,5.294359
.0001648,5.529664
.0001098,5.764968
.0000549,6.000273
.0003844,6.235578
.0063706,6.470883
.0003295,6.706188
.0001648,6.941493
.0008787,7.176797
.0017574,7.412102
.001373,7.647407
.0014279,7.882712
.0094461,8.118017
.0011533,8.353322
.0084026,8.588627
.0126314,8.823932
.0079633,9.059237
.0233956,9.294541
.0241095,9.529846
.0289973,9.765151
.0551389,10.00046
.0786443,10.23576
.0824886,10.47107
.1568492,10.70637
.2185784,10.94168
.3117214,11.17698
.9607015,11.41228
.9453241,11.64759
1.265833,11.88289
7.227311,12.1182
17.83094,12.3535
12.87817,12.58881
12.53069,12.82411
11.25904,13.05942
9.350487,13.29472
7.110223,13.53003
5.074918,13.76533
3.58205,14.00064
2.999851,14.23594
5.9472,14.47125
