y,x
.002097,.1292603
.0000874,1.680385
.0000874,2.455947
.0003495,3.490029
.0001747,3.74855
.0003495,4.007071
.0004369,4.265592
.0003495,4.524112
.0005242,4.782633
.000699,5.041153
.0004369,5.299675
.000699,5.558195
.0012232,5.816716
.0021843,6.075236
.0036697,6.333757
.0062909,6.592278
.0024465,6.850799
.0014853,7.109319
.0030581,7.36784
.0024465,7.62636
.0057666,7.884881
.0035823,8.143402
.0128439,8.401923
.0193095,8.660443
.0131934,8.918964
.0256004,9.177485
.0363474,9.436006
.0671902,9.694527
.087723,9.953047
.1109643,10.21157
.194406,10.47009
.2929633,10.72861
.4193927,10.98713
1.395791,11.24565
1.224277,11.50417
7.667285,11.76269
19.88489,12.02121
17.05976,12.27973
15.12321,12.53825
11.42688,12.79677
8.157276,13.05529
5.369363,13.31382
3.49127,13.57234
2.957942,13.83086
1.752887,14.08938
3.170696,14.3479
.0000874,15.38198
