y,x
.0003607,.1146909
.0000277,.8028364
.0000277,1.032218
.0000277,3.326037
.0000277,4.472946
.0000555,4.93171
.0000832,5.161091
.0000832,5.390473
.0000555,5.619855
.0000277,5.849237
.0000832,6.078619
.0000832,6.308001
.0001942,6.537383
.0001942,6.766764
.0003329,6.996146
.0004717,7.225528
.0021364,7.45491
.0034682,7.684292
.0034127,7.913673
.0037456,8.143055
.0043005,8.372437
.0032185,8.601819
.0028578,8.831201
.0155652,9.060583
.0176184,9.289965
.0133178,9.519346
.0228622,9.748728
.0289662,9.97811
.0438655,10.20749
.06867,10.43687
.0977472,10.66626
.1468566,10.89564
.1848401,11.12502
.2348929,11.3544
.3748409,11.58378
1.141198,11.81316
1.19999,12.04255
1.458827,12.27193
6.547757,12.50131
14.30269,12.73069
11.62681,12.96007
12.27392,13.18946
11.66571,13.41884
10.02473,13.64822
7.986663,13.8776
5.99787,14.10698
4.430531,14.33636
3.799932,14.56575
6.268028,14.79513
.0000277,15.02451
