y,x
.0030774,.1441242
.0000416,3.891354
.0000832,4.467851
.0001663,4.7561
.0002911,5.044348
.0004159,5.332596
.0001663,5.620845
.0002911,5.909093
.0006238,6.197342
.0003327,6.48559
.0020377,6.773839
.0015387,7.062087
.001913,7.350336
.001705,7.638584
.004824,7.926833
.007943,8.215081
.0148879,8.503329
.0297758,8.791578
.0256171,9.079826
.0397149,9.368074
.0471588,9.656323
.0880381,9.944571
.1379,10.23282
.2295561,10.52107
.3766051,10.80932
.6049136,11.09757
2.038558,11.38581
2.014438,11.67406
9.975626,11.96231
22.37103,12.25056
16.47568,12.53881
13.09855,12.82706
10.64321,13.1153
7.726767,13.40355
4.956582,13.6918
3.677181,13.98005
2.28296,14.2683
3.119759,14.55655
.0000416,18.01553
