y,x
.0025639,.1146835
.0000414,1.720252
.0000414,2.408353
.0000827,3.784554
.0000414,4.013921
.0000414,4.243289
.0000827,4.472655
.0000414,4.702022
.0001241,4.931389
.0001654,5.160756
.0002068,5.390123
.0002068,5.61949
.0002068,5.848857
.0003308,6.078224
.0001654,6.307591
.0002895,6.536958
.001282,6.766325
.0022744,6.995692
.0016128,7.225059
.0016128,7.454425
.0021504,7.683793
.0045075,7.913159
.0086015,8.142527
.0115376,8.371893
.0146391,8.60126
.0270037,8.830627
.0219586,9.059994
.0289887,9.289361
.0411879,9.518728
.0418496,9.748095
.073733,9.977462
.1069812,10.20683
.1418834,10.4362
.2118533,10.66556
.3270637,10.89493
.4829659,11.1243
1.465191,11.35366
1.575191,11.58303
1.94121,11.8124
9.802153,12.04176
19.81297,12.27113
13.98385,12.5005
11.54524,12.72987
9.682021,12.95923
7.944891,13.1886
6.085106,13.41797
4.212336,13.64733
3.145047,13.8767
2.602574,14.10607
2.93154,14.33543
1.71236,14.5648
