y,x
.0010769,.1249845
.0000256,3.37458
.0000513,4.374455
.0001795,4.624424
.0000513,4.874393
.0000769,5.374331
.0000256,5.6243
.0000256,5.874269
.0001026,6.124238
.0000769,6.374207
.0017948,6.624176
.0004102,6.874145
.000359,7.124114
.0005641,7.374083
.0026409,7.624051
.0015897,7.87402
.0027435,8.123989
.0055126,8.373958
.0048203,8.623927
.0057434,8.873896
.0189737,9.123865
.021871,9.373834
.018025,9.623802
.037614,9.873772
.0434343,10.12374
.0633823,10.37371
.0995349,10.62368
.1405334,10.87365
.2153512,11.12362
.2484526,11.37358
.4512145,11.62355
1.077064,11.87352
1.415718,12.12349
1.834395,12.37346
6.579429,12.62343
18.41654,12.8734
15.15891,13.12337
13.36341,13.37334
11.12027,13.6233
8.974239,13.87327
6.422793,14.12324
4.657883,14.37321
3.843477,14.62318
2.347402,14.87315
3.399236,15.12312
.0018461,15.37309
.0006154,15.62306
.0003077,15.87302
.0002051,16.12299
