y,x
.0032246,.126081
.0000389,1.134729
.0002331,3.65635
.0000389,3.908512
.0006605,4.664998
.0000777,4.917161
.0000777,5.169322
.000272,5.421484
.0001554,5.673646
.0003497,5.925808
.0003497,6.177971
.0038074,6.430133
.0019426,6.682295
.0010878,6.934457
.0023311,7.186619
.0018649,7.438781
.0014763,7.690943
.0030304,7.943105
.0071098,8.195268
.0083918,8.44743
.0207077,8.699592
.03314,8.951754
.022456,9.203916
.0263799,9.456078
.034189,9.70824
.0704371,9.960402
.0984488,10.21256
.1357459,10.46473
.2379245,10.71689
.3371892,10.96905
1.132239,11.22121
1.344405,11.47337
1.638664,11.72554
7.793891,11.9777
17.4831,12.22986
15.14643,12.48202
13.21662,12.73418
10.65287,12.98635
8.908181,13.23851
6.825721,13.49067
4.779547,13.74283
3.514631,13.995
2.538224,14.24716
3.972103,14.49932
.0000389,15.00364
.0001554,15.25581
.0000389,16.01229
