y,x
.0037923,.1243994
.0000925,.6219969
.0000462,1.865991
.0000462,2.363588
.0000462,3.109984
.0000925,3.358783
.0000462,3.607582
.0002312,4.353978
.0001387,4.602777
.000185,4.851575
.000185,5.100374
.0002775,5.349173
.0006012,5.597972
.0001387,5.846771
.0003237,6.095569
.0008787,6.344368
.0004162,6.593167
.0030523,6.841966
.0021736,7.090765
.0036535,7.339563
.0013874,7.588362
.0025436,7.837161
.0092495,8.085959
.0128105,8.334758
.0327431,8.583557
.0172965,8.832355
.0264072,9.081154
.0462473,9.329953
.0475884,9.578752
.0919858,9.827551
.1066462,10.07635
.1503499,10.32515
.2353523,10.57395
.3529129,10.82275
1.074925,11.07154
1.149476,11.32034
1.681551,11.56914
7.730554,11.81794
16.38693,12.06674
16.12022,12.31554
13.37328,12.56434
11.33849,12.81314
9.167503,13.06193
6.549121,13.31073
4.465913,13.55953
3.186714,13.80833
2.528569,14.05713
4.096537,14.30593
.0000925,14.55473
.0000925,14.80353
.0000462,15.54992
.0000462,15.79872
