y,x
.002898,.1227316
.0001811,.6136581
.0000906,2.822827
.0000906,3.06829
.0001811,3.559217
.0000906,4.050143
.0000906,4.295607
.0000906,4.54107
.0002717,4.786533
.0002717,5.031996
.0000906,5.27746
.0001811,5.522923
.0000906,5.768386
.0000906,6.013849
.0001811,6.259312
.0020829,6.504776
.0010868,6.750239
.0019924,6.995702
.0012679,7.241165
.001449,7.486629
.002898,7.732092
.0135844,7.977555
.0179314,8.223018
.0254481,8.468481
.018837,8.713944
.0271688,8.959408
.0526168,9.204871
.0472737,9.450335
.0858533,9.695798
.1208105,9.94126
.211373,10.18672
.2653483,10.43219
.3876984,10.67765
1.176408,10.92311
1.438043,11.16858
1.872472,11.41404
9.494036,11.6595
19.01569,11.90497
17.38847,12.15043
13.49428,12.39589
10.20387,12.64136
7.729515,12.88682
5.432486,13.13228
3.337774,13.37775
2.456691,13.62321
2.178754,13.86867
1.356356,14.11414
2.135375,14.3596
.0000906,14.60506
.0000906,14.85052
