y,x
.0005498,.1304044
.0000262,1.956065
.0000262,2.738492
.0000262,4.303344
.0000262,4.564152
.0001571,4.824961
.0001047,5.08577
.0001047,5.346579
.0000262,5.868196
.0001309,6.129004
.0003404,6.389813
.0020422,6.650622
.0004713,6.911431
.0004713,7.172239
.0030633,7.433048
.0072001,7.693857
.0099754,7.954666
.0076975,8.215474
.0060219,8.476283
.0041629,8.737092
.0074881,8.997901
.0201078,9.258709
.0263129,9.519518
.0346388,9.780327
.0386709,10.04114
.0470229,10.30194
.0979993,10.56275
.13434,10.82356
.1824102,11.08437
.2971661,11.34518
.3926258,11.60599
1.104908,11.8668
1.57087,12.12761
2.02518,12.38841
8.182697,12.64922
20.63113,12.91003
14.7049,13.17084
13.47725,13.43165
11.01926,13.69246
8.161489,13.95327
5.680611,14.21408
4.507577,14.47488
3.057302,14.73569
4.488831,14.9965
.0363145,15.25731
.0201863,15.51812
.0063622,15.77893
.0028015,16.03974
.0006546,16.30054
.0001833,16.56135
.0000524,16.82216
.0000262,17.08297
