y,x
.009179,.1216784
.0000425,.6083921
.0000425,2.31189
.0000425,3.285317
.000085,3.772031
.000085,4.015388
.000085,4.258744
.0006799,4.502101
.0000425,4.745458
.0002125,4.988815
.00017,5.232172
.000255,5.475529
.0001275,5.718885
.00034,5.962242
.0006374,6.205599
.0007224,6.448956
.0007649,6.692313
.0032722,6.935669
.0051845,7.179026
.004377,7.422383
.0015298,7.66574
.0042496,7.909097
.0089241,8.152453
.0121112,8.39581
.0220552,8.639168
.0186131,8.882524
.0207378,9.125881
.0273247,9.369238
.0496348,9.612595
.0800192,9.855951
.1013945,10.09931
.1377707,10.34266
.2268839,10.58602
.3327829,10.82938
.5347219,11.07274
1.550834,11.31609
1.683887,11.55945
2.442178,11.80281
12.05119,12.04616
22.04025,12.28952
14.15868,12.53288
11.6522,12.77623
9.594142,13.01959
7.256332,13.26295
4.943128,13.5063
3.474566,13.74966
2.78958,13.99302
1.774275,14.23637
2.983572,14.47973
.0000425,15.2098
.0000425,15.45316
