y,x
.003668,.1351837
.0000412,.6759184
.0000412,3.109225
.0000824,3.379592
.0000412,3.920327
.0000412,4.190694
.0005358,4.731429
.0001649,5.001796
.0001649,5.272163
.0002885,5.542531
.0002885,5.812898
.0003297,6.083266
.000577,6.353633
.0003297,6.624001
.0008243,6.894368
.0014425,7.164735
.0049456,7.435102
.0026377,7.70547
.0035444,7.975837
.009644,8.246204
.0178455,8.516572
.0243161,8.78694
.0158673,9.057306
.0338364,9.327674
.0498273,9.598042
.0766986,9.868409
.1091337,10.13878
.1812164,10.40914
.2556482,10.67951
.4513306,10.94988
1.276057,11.22025
1.704473,11.49061
2.132064,11.76098
11.47499,12.03135
23.73337,12.30171
15.10595,12.57208
12.5444,12.84245
10.00214,13.11282
6.971494,13.38318
4.595074,13.65355
3.316338,13.92392
2.475745,14.19429
3.42234,14.46465
.0000824,15.81649
.0000412,16.08686
.0000412,16.62759
.0000412,16.89796
