y,x
.0004095,.1312308
.0000256,4.330616
.0001536,4.593077
.0002815,4.855539
.0000256,5.118001
.0000256,5.380462
.0000256,5.642923
.0000512,5.905385
.0000256,6.167847
.0000768,6.430308
.0002048,6.69277
.0001536,6.955231
.0002815,7.217693
.0014844,7.480155
.000819,7.742616
.0012541,8.005077
.0027641,8.267539
.0020219,8.530001
.0018939,8.792462
.0045045,9.054924
.0337838,9.317386
.0121826,9.579847
.0306358,9.842308
.0360361,10.10477
.047067,10.36723
.0863534,10.62969
.1374642,10.89215
.172323,11.15462
.2925626,11.41708
.372492,11.67954
1.036574,11.942
1.468264,12.20446
2.020143,12.46692
13.52829,12.72939
13.82909,12.99185
14.04142,13.25431
13.48166,13.51677
11.43003,13.77923
8.591784,14.04169
6.3544,14.30416
5.01971,14.56662
3.3577,14.82908
4.530996,15.09154
.0249028,15.354
.0150236,15.61646
.0104423,15.87892
.0148444,16.14139
.0062705,16.40385
.0008702,16.66631
.0002048,16.92877
