y,x
.0020482,.1269309
.0000706,.6346546
.0000706,1.142378
.0000706,1.650102
.0002119,2.411688
.0000706,2.919411
.0003531,3.427135
.000565,3.680997
.0004238,4.188721
.0001413,4.696444
.0002119,4.950306
.0000706,5.204168
.0001413,5.45803
.0001413,5.711892
.0000706,5.965754
.0000706,6.219615
.0003531,6.473477
.0008475,6.727339
.0008475,6.981201
.0009182,7.235063
.0014126,7.488925
.0021188,7.742786
.0043083,7.996648
.0109473,8.25051
.0122892,8.504372
.0152556,8.758234
.0266267,9.012095
.0385628,9.265958
.0612343,9.519819
.0948532,9.773682
.1933084,10.02754
.2406997,10.2814
.353563,10.53527
.4442492,10.78913
1.578956,11.04299
1.754325,11.29685
2.396898,11.55071
12.51413,11.80458
21.0548,12.05844
15.64739,12.3123
12.58779,12.56616
9.683573,12.82002
7.18024,13.07388
4.734114,13.32775
3.084883,13.58161
2.766917,13.83547
1.2891,14.08933
2.219551,14.34319
.0001413,14.59706
.0000706,15.35864
