y,x
.004695,.1251565
.0000401,3.379225
.0000401,3.629539
.0000401,3.879852
.0000401,4.380477
.0000803,4.630791
.0000803,4.881104
.0002006,5.131416
.0002809,5.38173
.0001605,5.632042
.0000803,5.882356
.0003612,6.132668
.0128008,6.382982
.0023274,6.633295
.000642,6.883607
.002207,7.133921
.0030096,7.384233
.001565,7.634547
.0056179,7.88486
.0064606,8.135173
.0073434,8.385486
.0226722,8.635798
.0201442,8.886111
.0201041,9.136425
.0281296,9.386738
.0396463,9.637051
.0634823,9.887363
.0940998,10.13768
.1141236,10.38799
.1891627,10.6383
.3290082,10.88862
.5185722,11.13893
1.660731,11.38924
1.573333,11.63955
7.042277,11.88987
13.91216,12.14018
15.83646,12.39049
13.24672,12.64081
11.44948,12.89112
9.525548,13.14143
7.481957,13.39175
5.277976,13.64206
3.661185,13.89237
2.994942,14.14268
2.026055,14.393
2.823917,14.64331
.0000401,15.89488
