y,x
.0047558,.1322391
.0000915,3.0415
.0000915,3.305978
.0000915,3.570456
.0000915,4.099412
.0000915,4.363891
.0001829,4.892847
.0000915,5.157325
.0000915,5.421803
.0001829,6.215238
.0006402,6.479716
.0010975,6.744195
.001006,7.008673
.0005487,7.273151
.0021035,7.537629
.0022864,7.802107
.0044814,8.066586
.0075909,8.331064
.0158221,8.595542
.0224984,8.860021
.0402411,9.124498
.0505758,9.388977
.1018832,9.653455
.1292289,9.917933
.20148,10.18241
.2636708,10.44689
.4354272,10.71137
1.195527,10.97585
1.660952,11.24032
2.268227,11.5048
11.84634,11.76928
22.63325,12.03376
16.39213,12.29824
12.94127,12.56272
9.674971,12.82719
6.973694,13.09167
4.338084,13.35615
2.974276,13.62063
2.440807,13.88511
3.368639,14.14958
.0025608,14.41406
.0015548,14.67854
.0003658,14.94302
.0001829,15.2075
.0003658,15.47198
.0004573,15.73645
